GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
GBIF Common Web service,org.gbif.ws.json,JacksonJsonContextResolver,37,36,3,1,8,9,4,4,2,4
GBIF Common Web service,org.gbif.ws.util,XSSUtil,4,158,3,9,2,30,3,6,0,3
GBIF Common Web service,org.gbif.ws.util,MultipleChoices,0,25,0,0,0,7,0,4,0,4
GBIF Common Web service,org.gbif.ws.util,WebserviceParameter,7,0,0,0,2,0,1,0,1,0
GBIF Common Web service,org.gbif.ws.util,MapConvertUtils,52,0,8,0,12,0,6,0,2,0
GBIF Common Web service,org.gbif.ws.util,InputStreamUtils,43,0,4,0,9,0,3,0,1,0
GBIF Common Web service,org.gbif.ws.util,Choice,6,21,0,0,2,8,2,3,2,3
GBIF Common Web service,org.gbif.ws.util,ExtraMediaTypes,7,49,0,0,2,8,1,1,1,1
GBIF Common Web service,org.gbif.ws.mixin,Mixins,2,16,0,0,1,3,1,2,1,2
GBIF Common Web service,org.gbif.ws.server.guice,WsJerseyModule,209,0,6,0,45,0,7,0,4,0
GBIF Common Web service,org.gbif.ws.server.guice,WsAuthModule,50,0,0,0,15,0,4,0,4,0
GBIF Common Web service,org.gbif.ws.server.guice,GbifServletListener,102,0,2,0,33,0,11,0,10,0
GBIF Common Web service,org.gbif.ws.server.guice,WsJerseyModuleConfiguration,95,0,6,0,31,0,16,0,13,0
GBIF Common Web service,org.gbif.ws.server.guice,WsJerseyModule.new Function() {...},9,0,0,0,2,0,2,0,2,0
GBIF Common Web service,org.gbif.ws.util.spring,ClassUtils,56,0,8,0,12,0,6,0,2,0
GBIF Common Web service,org.gbif.ws.util.spring,Assert,52,0,8,0,21,0,13,0,9,0
GBIF Common Web service,org.gbif.ws.util.spring,AnnotationUtils,262,0,36,0,64,0,33,0,15,0
GBIF Common Web service,org.gbif.ws.util.spring,ReflectionUtils,592,0,82,0,123,0,63,0,22,0
GBIF Common Web service,org.gbif.ws.util.spring,ReflectionUtils.new ReflectionUtils.FieldCallback() {...},22,0,0,0,5,0,2,0,2,0
GBIF Common Web service,org.gbif.ws.util.spring,ReflectionUtils.new ReflectionUtils.FieldFilter() {...},15,0,4,0,2,0,4,0,2,0
GBIF Common Web service,org.gbif.ws.util.spring,ReflectionUtils.new ReflectionUtils.MethodCallback() {...},12,0,0,0,3,0,2,0,2,0
GBIF Common Web service,org.gbif.ws.util.spring,BridgeMethodResolver,509,0,98,0,127,0,62,0,13,0
GBIF Common Web service,org.gbif.ws.client.guice,GbifMatchers,49,0,8,0,11,0,8,0,4,0
GBIF Common Web service,org.gbif.ws.client.guice,AnonymousAuthModule.AnonymousAuthFilter,5,0,0,0,1,0,1,0,1,0
GBIF Common Web service,org.gbif.ws.client.guice,SingleUserAuthModule,17,0,0,0,5,0,2,0,2,0
GBIF Common Web service,org.gbif.ws.client.guice,GbifWsClientModule.HttpClientConnParams,3,0,0,0,1,0,1,0,1,0
GBIF Common Web service,org.gbif.ws.client.guice,GbifWsClientModule,39,100,0,8,8,24,3,8,3,4
GBIF Common Web service,org.gbif.ws.client.guice,GbifApplicationAuthModule,57,0,0,0,14,0,4,0,4,0
GBIF Common Web service,org.gbif.ws.client.guice,AnonymousAuthModule,10,0,0,0,3,0,2,0,2,0
GBIF Common Web service,org.gbif.ws.client.guice,GbifMatchers.AnnotatedWithType,70,0,12,0,12,0,11,0,5,0
GBIF Common Web service,org.gbif.ws.server.interceptor,NullToNotFoundInterceptor,0,14,0,2,0,5,0,3,0,2
GBIF Common Web service,org.gbif.ws.response,GbifResponseStatus,119,0,10,0,24,0,15,0,8,0
GBIF Common Web service,org.gbif.ws.security,GbifAuthService,73,388,10,18,21,78,10,19,0,15
GBIF Common Web service,org.gbif.ws.security,NotAuthenticatedException,16,0,0,0,4,0,2,0,2,0
GBIF Common Web service,org.gbif.ws.security,NotAllowedException,28,0,0,0,6,0,3,0,3,0
GBIF Common Web service,org.gbif.ws.server.provider,SearchRequestProvider,18,168,3,17,6,45,3,16,0,9
GBIF Common Web service,org.gbif.ws.server.provider,ValidationExceptionMapper,71,0,2,0,10,0,4,0,3,0
GBIF Common Web service,org.gbif.ws.server.provider,NameUsageSearchRequestProvider,4,93,6,10,1,21,6,4,0,2
GBIF Common Web service,org.gbif.ws.server.provider,CountryProvider,0,48,1,7,0,13,1,8,0,5
GBIF Common Web service,org.gbif.ws.server.provider,OccurrenceSearchRequestProvider,5,0,0,0,2,0,1,0,1,0
GBIF Common Web service,org.gbif.ws.server.provider,JsonMappingExceptionMapper,12,0,0,0,2,0,2,0,2,0
GBIF Common Web service,org.gbif.ws.server.provider,LocaleProvider,27,53,8,10,4,14,5,9,0,5
GBIF Common Web service,org.gbif.ws.server.provider,DatasetSearchRequestProvider,5,0,0,0,2,0,1,0,1,0
GBIF Common Web service,org.gbif.ws.server.provider,IllegalArgumentExceptionMapper,12,0,0,0,2,0,2,0,2,0
GBIF Common Web service,org.gbif.ws.server.provider,ContainerExceptionMapper,34,0,4,0,10,0,4,0,2,0
GBIF Common Web service,org.gbif.ws.server.provider,JsonRuntimeMappingExceptionMapper,12,0,0,0,2,0,2,0,2,0
GBIF Common Web service,org.gbif.ws.server.provider,PageableProvider,19,92,1,11,6,28,1,11,0,6
GBIF Common Web service,org.gbif.ws.server.provider,DatasetSuggestRequestProvider,5,0,0,0,2,0,1,0,1,0
GBIF Common Web service,org.gbif.ws.server.provider,UnsupportedOperationExceptionMapper,12,0,0,0,2,0,2,0,2,0
GBIF Common Web service,org.gbif.ws.server.provider,JsonParseExceptionMapper,12,0,0,0,2,0,2,0,2,0
GBIF Common Web service,org.gbif.ws.server.provider,NameUsageSuggestRequestProvider,5,0,0,0,2,0,1,0,1,0
GBIF Common Web service,org.gbif.ws.server.provider,FacetedSearchRequestProvider,45,140,11,17,9,33,10,7,0,3
GBIF Common Web service,org.gbif.ws.client.filter,SimplePrincipalProvider,0,27,0,2,0,8,0,4,0,3
GBIF Common Web service,org.gbif.ws.client.filter,HttpGbifAuthFilter,5,25,1,3,1,8,1,3,0,2
GBIF Common Web service,org.gbif.ws.client,BaseWsGetClient,81,0,8,0,16,0,9,0,5,0
GBIF Common Web service,org.gbif.ws.client,QueryParamBuilder,30,124,4,18,5,26,4,14,1,6
GBIF Common Web service,org.gbif.ws.client,BaseWsSearchClient,97,0,8,0,21,0,8,0,4,0
GBIF Common Web service,org.gbif.ws.client,BaseWsClient,246,0,6,0,42,0,25,0,22,0
GBIF Common Web service,org.gbif.ws.client,BaseWsSuggestClient,32,0,2,0,6,0,3,0,2,0
GBIF Common Web service,org.gbif.ws.client,BaseWsFacetedSearchClient,109,0,14,0,20,0,9,0,2,0
GBIF Common Web service,org.gbif.ws.server.filter,AppIdentityFilter,11,70,4,10,2,15,4,6,0,3
GBIF Common Web service,org.gbif.ws.server.filter,IdentityFilter,58,167,8,18,12,43,9,11,1,6
GBIF Common Web service,org.gbif.ws.server.filter,AuthFilter.Authorizer,51,42,4,4,13,10,5,6,3,4
GBIF Common Web service,org.gbif.ws.server.filter,XSSFilter,58,0,10,0,19,0,11,0,6,0
GBIF Common Web service,org.gbif.ws.server.filter,RequestHeaderParamUpdateFilter,44,0,4,0,12,0,6,0,4,0
GBIF Common Web service,org.gbif.ws.server.filter,CrossDomainResponseFilter,28,0,2,0,6,0,3,0,2,0
GBIF Common Web service,org.gbif.ws.server.filter,JsonpResponseFilter,0,47,0,10,0,12,0,7,0,2
GBIF Common Web service,org.gbif.ws.server.filter,IdentityFilter.Authorizer,6,44,0,4,2,9,2,7,2,5
GBIF Common Web service,org.gbif.ws.server.filter,AppIdentityFilter.new SecurityContext() {...},11,24,0,0,3,3,3,2,3,2
GBIF Common Web service,org.gbif.ws.server.filter,CreatedResponseFilter,0,59,6,12,0,12,6,5,0,2
GBIF Common Web service,org.gbif.ws.server.filter,AuthResponseFilter,34,0,2,0,9,0,4,0,3,0
GBIF Common Web service,org.gbif.ws.server.filter,AuthFilter,79,117,12,12,18,32,10,8,1,5
GBIF Common Web service,org.gbif.ws.client.interceptor,HttpErrorResponseInterceptor,10,103,3,10,3,24,3,10,0,3
GBIF Common Web service,org.gbif.ws.client.interceptor,PublicMethodMatcher,0,55,2,12,0,9,2,7,0,2
